longitude,latitude,house_age,area,elevator,janitor,parking_space,closing_year,bedroom,living_room,bathroom,residential,property_type_apartment,property_type_detached_house,property_type_mansion,property_type_residential_building,sale_floor_all,sale_floor_basement,sale_floor_other,lower_floor,middle_floor,higher_floor,sale_floor_count,total_floor,price
120.9753884159391,24.81500804907154,44,32.39,0,0,0,112,3,2,2,0,0,1,0,0,1,0,0,1,1,1,2,2,8000000
120.97913720106824,24.816958783167205,29,18.59,1,1,0,112,1,1,1,1,0,0,0,1,0,0,0,0,0,0,1,14,4000000
121.01638721793164,24.784438246693217,14,46.26,1,1,1,112,3,2,2,0,0,0,0,1,0,0,0,0,0,0,1,15,24800000
120.97730657028774,24.82003727003657,32,26.41,1,0,1,112,3,2,2,1,0,0,1,0,0,0,0,0,0,0,1,5,9250000
120.96830564222644,24.77616553725652,19,15.26,1,1,0,112,1,1,1,1,0,0,1,0,0,1,0,0,0,0,1,4,4150000
120.9319589244312,24.8388120102234,28,60.74,0,0,0,112,5,2,4,1,0,1,0,0,1,0,0,1,1,1,4,4,13550000
120.95549961400924,24.80313081621968,15,15.54,1,1,0,112,2,1,1,0,0,0,1,0,0,0,0,0,0,0,1,10,6400000
120.9633905277836,24.81076213564231,15,17.52,1,1,0,112,1,1,1,1,0,0,0,1,0,0,0,0,0,0,1,11,7300000
121.0254054226018,24.778577391903003,25,52.62,1,1,1,112,3,2,2,1,0,0,0,1,0,0,0,0,0,0,1,14,16600000
120.9503750815197,24.75566560733057,26,9.52,0,1,0,112,1,1,1,1,1,0,0,0,0,0,0,0,0,0,1,4,1100000
120.95201633589282,24.755810605110213,22,90.38,0,0,0,112,0,0,0,1,0,1,0,0,1,0,0,1,1,1,4,4,10950000
120.96837241733486,24.82481178406897,35,2.23,0,0,0,112,3,2,2,1,0,1,0,0,1,0,0,1,1,1,2,2,680000
120.96837241733486,24.82481178406897,35,2.23,0,0,0,112,3,2,2,1,0,1,0,0,1,0,0,1,1,1,2,2,680000
120.95065215361868,24.755096889870654,26,9.0,0,1,0,112,0,0,0,1,1,0,0,0,0,1,0,0,0,0,1,5,900000
121.01285720683477,24.79034331766128,1,44.29,1,1,1,112,3,2,2,1,0,0,0,1,0,0,0,0,0,0,1,29,20600000
120.9503750815197,24.75566560733057,26,9.86,0,1,0,112,1,1,1,1,1,0,0,0,0,0,0,0,0,0,1,4,800000
120.95065215361868,24.755096889870654,26,8.87,0,1,0,112,1,1,1,1,1,0,0,0,0,1,0,0,0,0,1,5,1100000
120.98734868568629,24.808093614707303,3,16.92,1,1,1,112,2,2,1,1,0,0,0,1,0,0,0,0,0,0,1,15,8500000
120.95549961400924,24.80313081621968,15,15.54,1,1,0,112,2,1,1,0,0,0,1,0,0,0,0,0,0,0,1,10,6500000
120.97524366905245,24.79670701021295,26,73.66,1,1,1,112,4,2,2,1,0,0,0,1,0,0,0,0,0,0,1,12,21500000
120.97825058963474,24.79579558305726,28,55.79,1,1,1,112,4,2,2,1,0,0,1,0,0,0,0,0,0,0,1,8,13500000
121.00236386269248,24.796393040707173,16,11.53,1,1,0,112,1,1,1,1,0,0,1,0,0,0,0,0,0,0,1,6,6180000
120.94957862206638,24.793684998966786,11,47.51,1,1,1,112,2,2,2,1,0,0,1,0,0,0,0,0,0,0,1,10,15000000
120.96196163053334,24.793029574694124,30,39.56,1,1,1,112,3,2,2,1,0,0,1,0,0,0,0,0,0,0,1,8,9900000
120.95099288477756,24.793857018780766,25,46.82,1,1,1,112,3,2,2,1,0,0,1,0,0,0,0,0,0,0,1,7,11600000
120.9633905277836,24.81076213564231,15,11.43,1,1,0,112,1,1,1,0,0,0,0,1,0,0,0,0,0,0,1,11,4720000
120.96830564222644,24.77616553725652,19,25.57,1,1,1,112,1,1,1,1,0,0,1,0,0,1,0,0,0,0,1,4,5730000
120.9503750815197,24.75566560733057,26,9.5,0,1,0,112,1,1,1,1,1,0,0,0,0,0,0,0,0,0,1,4,950000
121.01495346598062,24.7865510970869,35,35.33,0,1,0,112,4,2,2,0,1,0,0,0,0,0,0,0,0,0,1,5,10100000
120.94298967515404,24.79789900466585,1,49.66,0,0,0,112,5,2,3,1,0,1,0,0,1,0,0,1,1,1,2,2,9200000
121.01805864228452,24.784898516070896,15,19.8,1,1,1,112,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,13,7900000
121.00895075535256,24.79259173686891,12,36.24,1,1,1,112,2,2,1,1,0,0,0,1,0,0,0,0,0,0,1,15,18500000
121.01285720683477,24.79034331766128,1,33.37,1,1,1,112,2,1,1,1,0,0,0,1,0,0,0,0,0,0,1,29,18030000
120.95549961400924,24.80313081621968,15,15.54,1,1,0,112,2,1,1,0,0,0,1,0,0,0,0,0,0,0,1,10,6250000
120.97249235982468,24.804435029404672,23,23.64,1,0,0,112,3,1,3,1,0,0,1,0,0,0,0,0,0,0,1,5,7900000
121.00737814792268,24.791851463454503,26,17.32,1,1,0,112,2,2,1,1,0,0,1,0,0,0,0,0,0,0,1,10,7800000
120.9790961541156,24.766759577175925,44,30.62,0,0,0,112,5,1,3,1,0,1,0,0,1,0,0,1,1,1,2,2,4500000
120.95152489063916,24.79920213692964,16,45.14,1,1,1,112,3,2,2,1,0,0,0,1,0,0,0,0,0,0,1,15,14150000
120.97296453433216,24.816452203285863,1,7.41,1,0,0,112,1,1,1,1,0,0,1,0,0,0,0,0,0,0,1,7,1890000
120.97296453433216,24.816452203285863,1,8.84,1,0,0,112,1,1,1,1,0,0,1,0,0,0,0,0,0,0,1,7,2260000
120.96830564222644,24.77616553725652,19,15.26,1,1,0,112,1,1,1,1,0,0,1,0,0,1,0,0,0,0,1,4,4200000
120.96479288208847,24.81882502779269,20,57.34,1,1,1,112,4,2,2,1,0,0,0,1,0,0,0,0,0,0,1,13,14000000
120.9860955994557,24.77990611283528,1,38.24,0,0,0,112,0,0,0,1,0,1,0,0,1,0,0,1,1,1,2,2,12500000
120.99934721887342,24.79619442099808,28,41.32,1,1,0,112,3,2,2,1,0,0,1,0,0,0,0,0,0,0,1,10,15500000
120.97187740183354,24.81196477772245,29,11.41,1,1,0,112,1,1,1,1,0,0,0,1,0,0,0,0,0,0,1,12,3850000
120.96693977623292,24.81792265242869,20,53.69,1,1,0,112,3,2,2,1,0,0,0,1,0,0,0,0,0,0,1,11,15900000
120.92888090518456,24.84053503192956,5,25.64,1,1,0,112,2,1,1,1,0,0,1,0,0,0,0,0,0,0,1,10,7750000
120.94510801320756,24.79399943937256,9,40.81,1,1,1,112,2,2,1,1,0,0,0,1,0,0,0,0,0,0,1,15,13300000
120.95921265445423,24.821586349861693,9,26.37,1,1,1,112,3,2,2,0,0,0,1,0,0,0,0,0,0,0,1,9,7650000
120.96549482858876,24.82032393771465,34,33.62,0,0,0,112,3,2,2,1,1,0,0,0,0,0,0,0,0,0,1,5,6300000
120.95582572830943,24.803961546515872,17,26.32,1,1,0,112,2,2,1,1,0,0,0,1,0,0,0,0,0,0,1,13,10500000
120.92753076576956,24.729148069538983,2,47.97,0,1,0,112,3,2,3,1,0,1,0,0,1,0,0,1,1,1,3,3,17800000
120.9672058047868,24.82196751735492,25,21.63,1,1,0,112,2,1,1,1,0,0,0,1,0,0,0,0,0,0,1,21,7500000
120.99711190668312,24.79754869271905,26,45.96,1,1,0,112,3,2,2,1,0,0,0,1,0,0,0,0,0,0,1,15,16500000
120.927588639092,24.83388937409876,1,50.1,1,1,1,112,3,2,2,1,0,0,0,1,0,0,0,0,0,0,1,15,13030000
120.94703906166778,24.83487261205569,8,52.69,1,1,1,112,3,2,2,1,0,0,1,0,0,0,0,0,0,0,1,8,15200000
120.9056679917662,24.75067836092475,1,34.98,1,1,1,112,3,2,2,1,0,0,1,0,0,0,0,0,0,0,1,5,6731000
120.9056679917662,24.75067836092475,1,34.11,1,1,1,112,3,2,2,1,0,0,1,0,0,0,0,0,0,0,1,5,7139050
120.9056679917662,24.75067836092475,1,34.02,1,1,1,112,3,2,2,1,0,0,1,0,0,0,0,0,0,0,1,5,6556250
120.9056679917662,24.75067836092475,1,33.26,1,1,1,112,3,2,2,1,0,0,1,0,0,0,0,0,0,0,1,5,6597650
120.9056679917662,24.75067836092475,1,34.02,1,1,1,112,3,2,2,1,0,0,1,0,0,0,0,0,0,0,1,5,7100000
120.9056679917662,24.75067836092475,1,33.26,1,1,1,112,3,2,2,1,0,0,1,0,0,0,0,0,0,0,1,5,6350000
120.9056679917662,24.75067836092475,1,34.98,1,1,1,112,3,2,2,1,0,0,1,0,0,0,0,0,0,0,1,5,6700000
120.96910414425687,24.82621136494004,1,45.37,1,1,1,112,3,2,2,1,0,0,0,1,0,0,0,0,0,0,1,14,17000000
121.01285720683477,24.79034331766128,1,33.19,1,1,1,112,2,2,1,1,0,0,0,1,0,0,0,0,0,0,1,29,16800000
120.97561470995063,24.8212648965014,29,35.63,1,1,1,112,3,2,2,1,0,0,1,0,0,0,0,0,0,0,1,6,10600000
120.92897611339129,24.829736887578107,1,43.0,1,1,1,112,3,2,2,1,0,0,0,1,0,0,0,0,0,0,1,15,12800000
120.97007122735155,24.79514411617003,41,32.19,0,0,0,112,3,2,2,1,1,0,0,0,0,0,0,0,0,0,1,5,4780000
120.96819496083258,24.822401105771583,23,46.1,1,1,1,112,3,2,2,1,0,0,0,1,0,0,0,0,0,0,1,20,14080000
120.98054234898302,24.81410594290636,21,59.19,0,0,0,112,0,0,0,1,0,1,0,0,1,0,0,1,1,1,4,4,17350000
120.98343148120824,24.80917666173328,26,40.88,1,1,1,112,3,2,2,1,0,0,0,1,0,0,0,0,0,0,1,12,12600000
120.95099288477756,24.793857018780766,25,28.99,1,1,2,112,4,2,2,1,0,0,1,0,0,0,0,0,0,0,1,7,5000000
120.93259205731428,24.838965774314328,15,42.09,1,1,1,112,3,2,2,1,0,0,0,1,0,0,0,0,0,0,1,14,9390000
121.01318314796754,24.786235265023404,28,29.7,1,1,0,112,3,2,2,1,0,0,0,1,0,0,0,0,0,0,1,13,11100000
120.979580737895,24.766407529787564,1,31.46,0,0,0,112,3,2,2,1,0,1,0,0,1,0,0,1,1,1,2,2,5000000
121.00236386269248,24.796393040707173,16,10.9,1,1,0,112,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,6,6380000
120.93398711191384,24.745529101415347,29,55.53,0,1,0,112,5,2,3,1,0,1,0,0,1,0,0,1,1,1,4,4,7800000
120.95235607114874,24.79829050967568,10,22.94,1,1,0,112,1,1,1,1,0,0,0,1,0,0,0,0,0,0,1,15,8000000
120.92888090518456,24.84053503192956,5,25.69,1,1,0,112,2,2,1,1,0,0,1,0,0,0,0,0,0,0,1,10,8350000
120.96759153658276,24.822283599847616,25,58.05,1,1,1,112,3,2,2,1,0,0,0,1,0,0,0,0,0,0,1,21,15660000
120.97832843864558,24.80313586413712,1,35.21,1,1,0,112,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,7,20880000
121.01638721793164,24.784438246693217,14,43.38,1,1,1,112,3,2,2,0,0,0,0,1,0,0,0,0,0,0,1,15,24280000
120.97865304132785,24.813681339365072,30,10.12,1,1,0,112,1,1,1,1,0,0,1,0,0,0,0,0,0,0,1,7,1750000
120.96195714060508,24.807746227510915,27,10.42,1,1,0,112,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,6,2400000
120.97609951202912,24.82093091844616,30,40.47,1,1,1,112,2,2,1,1,0,0,1,0,0,0,0,0,0,0,1,8,6780000
120.9604261019624,24.80097437038492,26,103.48,1,1,2,112,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,14,15000000
120.9604261019624,24.80097437038492,26,182.5,1,1,0,112,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,14,25000000
120.96147018035924,24.815104414943868,27,10.53,1,1,0,112,1,1,1,1,0,0,0,1,0,0,0,0,0,0,1,14,3350000
120.94713295970782,24.77678254190599,41,26.11,0,0,0,112,0,0,0,1,0,1,0,0,1,0,0,1,1,1,2,2,6420000
120.94703906166778,24.83487261205569,8,52.86,1,1,1,112,3,2,2,1,0,0,1,0,0,0,0,0,0,0,1,8,16600000
120.94287371078312,24.835105831006214,2,66.99,1,1,2,112,3,2,2,1,0,0,0,1,0,0,0,0,0,0,1,15,17500000
120.97599058569892,24.82149066621653,28,43.75,1,1,1,112,2,2,1,1,0,0,1,0,0,0,0,0,0,0,1,5,12200000
120.92939658337735,24.83844967883117,5,32.18,1,1,1,112,2,1,1,1,0,0,0,1,0,0,0,0,0,0,1,15,9300000
120.9056679917662,24.75067836092475,1,34.98,1,1,1,112,3,2,2,1,0,0,1,0,0,0,0,0,0,0,1,5,6600000
120.9056679917662,24.75067836092475,1,34.11,1,1,1,112,3,2,2,1,0,0,1,0,0,0,0,0,0,0,1,5,6900000
120.9056679917662,24.75067836092475,1,69.09,1,1,2,112,2,2,2,1,0,0,1,0,0,0,0,0,0,0,1,5,13000000
120.9056679917662,24.75067836092475,1,34.02,1,1,1,112,3,2,2,1,0,0,1,0,0,0,0,0,0,0,1,5,6760000
120.9056679917662,24.75067836092475,1,34.02,1,1,1,112,3,2,2,1,0,0,1,0,0,0,0,0,0,0,1,5,8500000
120.9056679917662,24.75067836092475,1,33.26,1,1,1,112,3,2,2,1,0,0,1,0,0,0,0,0,0,0,1,5,6680000
120.9633905277836,24.81076213564231,15,25.36,1,1,1,112,1,1,1,1,0,0,0,1,0,0,0,0,0,0,1,11,8880000
120.97731649646524,24.76546822281312,29,17.98,1,1,0,112,3,2,2,1,0,0,1,0,0,0,0,0,0,0,1,5,5000000
120.97362580367351,24.82358491018132,31,10.85,1,1,0,112,1,1,1,1,0,0,1,0,0,0,0,0,0,0,1,7,3700000
120.9610504110049,24.79720959569006,1,25.56,1,0,0,112,2,2,1,1,0,0,0,1,0,0,0,0,0,0,1,12,6780000
121.00901026500098,24.794912084654595,28,38.63,1,1,1,112,3,2,2,1,0,0,1,0,0,0,0,0,0,0,1,7,13950000
120.9776431121224,24.76376185959072,26,46.58,1,1,1,112,4,2,2,1,0,0,1,0,0,0,0,0,0,0,1,10,8500000
120.96819496083258,24.822401105771583,23,34.79,1,1,0,112,3,2,2,1,0,0,0,1,0,0,0,0,0,0,1,20,9860000
120.97695010025132,24.768357342109585,9,25.44,1,0,1,112,2,2,1,1,0,0,1,0,0,0,0,0,0,0,1,5,8600000
120.95549961400924,24.80313081621968,14,15.54,1,1,0,112,2,1,1,0,0,0,1,0,0,0,0,0,0,0,1,10,6120000
120.9638381225414,24.80226632917101,17,7.05,1,0,0,112,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,5,2700000
